"","School.Name","Total.Enrollment","X..Female","X..Male","elem","mid","high","Grade.1","Grade.2","Grade.3","Grade.4","Grade.5","Grade.6","Grade.7","Grade.8","Grade.9","Grade.10","Grade.11","Grade.12","X..Asian","X..Black","X..Hispanic","X..Multiple.Race.Categories.Not.Represented","X..White","X..Poverty"
"108","108",2121,697,1424,0,0,1,0,0,0,0,0,0,0,0,493,561,537,530,77,628,1339,32,45,1612
"109","109",1353,1030,323,0,1,0,0,0,0,0,0,466,452,435,0,0,0,0,24,273,1040,1,15,1224
"110","110",1413,700,713,1,0,0,323,228,142,86,35,0,0,0,0,0,0,0,78,163,949,18,205,1019
"111","111",2476,438,2038,0,0,1,0,0,0,0,0,0,0,0,874,655,470,477,23,643,1723,33,54,2236
"112","112",2551,1272,1279,0,1,1,0,0,0,0,0,399,394,371,388,333,327,339,61,708,1727,19,36,2193
"113","113",1984,296,1688,0,0,1,0,0,0,0,0,0,0,0,726,532,372,354,88,580,1232,31,53,1834
"114","114",2037,1158,879,0,0,1,0,0,0,0,0,0,0,0,599,574,474,390,41,675,1233,42,46,1780
"115","115",2180,2180,0,1,1,0,253,250,247,250,254,239,223,218,0,0,0,0,32,592,1496,41,19,1938
"116","116",1604,770,834,0,1,0,0,0,0,0,0,520,540,544,0,0,0,0,100,340,931,19,214,1482
"117","117",903,437,466,0,0,1,0,0,0,0,0,0,0,0,123,312,229,239,10,282,601,3,7,754
"118","118",1552,863,687,0,0,1,0,0,0,0,0,0,0,0,559,375,326,292,123,771,526,76,56,1159
"119","119",2032,1127,905,0,0,1,0,0,0,0,0,0,0,0,609,594,398,431,31,536,1388,33,44,1815
"120","120",2112,1142,970,0,1,1,0,0,0,0,0,269,241,244,431,366,347,214,160,596,1289,35,32,1692
"121","121",2313,1141,1172,0,0,1,0,0,0,0,0,0,0,0,826,636,459,392,69,624,1383,18,219,1821
"122","122",1644,799,845,0,0,1,0,0,0,0,0,0,0,0,454,464,361,365,66,754,751,29,44,1130
"123","123",1458,631,827,0,0,1,0,0,0,0,0,0,0,0,579,398,243,238,35,336,1045,15,27,1209
"124","124",1187,628,559,0,0,1,0,0,0,0,0,0,0,0,248,350,286,303,34,164,947,9,33,1085
"125","125",1964,780,1184,0,0,1,0,0,0,0,0,0,0,0,590,521,463,390,47,760,1057,39,61,1523
